2019-03-04 12:41:24, E:\PES\TEST\video\V0801\121116.avi, 2019-03-04 12:41:37, 25583, 2019-03-04 12:41:39
2019-03-04 12:41:40, E:\PES\TEST\video\V0801\388286.avi, 2019-03-04 12:42:12, 386521, 2019-03-04 12:42:12
2019-03-04 12:42:15, E:\PES\TEST\video\V0801\168193.avi, 2019-03-04 12:42:47, 173251, 2019-03-04 12:42:49
2019-03-04 12:42:49, E:\PES\TEST\video\V0801\46887.avi, 2019-03-04 12:43:03, 25571, 2019-03-04 12:43:03
2019-03-04 12:43:04, E:\PES\TEST\video\V0801\47345.avi, 2019-03-04 12:43:15, 25636, 2019-03-04 12:43:17
2019-03-04 12:43:18, E:\PES\TEST\video\V0801\121856.avi, 2019-03-04 12:43:34, 25453, 2019-03-04 12:43:36
2019-03-04 12:43:36, E:\PES\TEST\video\V0801\46660.avi, 2019-03-04 12:43:49, 25192, 2019-03-04 12:43:51
2019-03-04 12:43:52, E:\PES\TEST\video\V0801\47116.avi, 2019-03-04 12:43:59, 24896, 2019-03-04 12:44:01
2019-03-04 12:44:02, E:\PES\TEST\video\V0801\46778.avi, 2019-03-04 12:44:26, 24717, 2019-03-04 12:44:26
2019-03-04 12:44:27, E:\PES\TEST\video\V0801\47030.avi, 2019-03-04 12:44:36, 24583, 2019-03-04 12:44:37
2019-03-04 12:44:38, E:\PES\TEST\video\V0801\47412.avi, 2019-03-04 12:44:51, 25515, 2019-03-04 12:44:52
2019-03-04 12:44:52, E:\PES\TEST\video\V0801\121495.avi, 2019-03-04 12:45:08, 24359, 2019-03-04 12:45:08
2019-03-04 12:45:09, E:\PES\TEST\video\V0801\45990.avi, 2019-03-04 12:45:17, 25314, 2019-03-04 12:45:19
2019-03-04 12:45:20, E:\PES\TEST\video\V0801\375109.avi, 2019-03-04 12:45:35, 372593, 2019-03-04 12:45:37
2019-03-04 12:45:37, E:\PES\TEST\video\V0801\47258.avi, 2019-03-04 12:45:50, 25253, 2019-03-04 12:45:52
2019-03-04 12:45:53, E:\PES\TEST\video\V0801\46387.avi, 2019-03-04 12:46:04, 24201, 2019-03-04 12:46:04
2019-03-04 12:46:05, E:\PES\TEST\video\V0801\46602.avi, 2019-03-04 12:46:17, 24690, 2019-03-04 12:46:18
2019-03-04 12:46:19, E:\PES\TEST\video\V0801\169321.avi, 2019-03-04 12:46:41, 173347, 2019-03-04 12:46:43
